sample_id,total_cost,cost_ratio,average_distance,total_hbar_distance,model_count,gt_model_count,model_count_error,runtime
0,6.519497355141672,1.1390573535037287,0.054329144626180596,0.2660078768295813,4,4,0,0.08314180374145508
1,7.1964734871328275,1.1315082404922976,0.05997061239277356,0.21875175194869073,4,4,0,0.08306431770324707
2,6.6957153973486685,1.1140777287469164,0.055797628311238905,0.17888587950139678,4,4,0,0.0837395191192627
3,5.868655658862525,1.0139049631514314,0.04890546382385438,0.15225963219265212,4,4,0,0.0841362476348877
4,7.5395992109144565,1.2442506351450329,0.06282999342428713,0.19797964772523988,4,4,0,0.08550763130187988
5,6.861275597055252,1.1129117935819401,0.057177296642127104,0.1861797352418802,4,4,0,0.0844571590423584
6,5.914316597233501,0.9565006370708068,0.04928597164361251,0.14432977271142217,4,4,0,0.08563756942749023
7,5.995081804730589,0.9444552509285229,0.04995901503942157,0.10853514069874508,4,4,0,0.08490896224975586
8,6.767992788835697,1.0841809613820066,0.05639993990696414,0.16530718465301839,4,4,0,0.08432626724243164
9,6.169338014726728,0.9618899531650288,0.05141115012272273,0.11093359064118416,4,4,0,0.08425259590148926
10,6.0599889248450705,0.9490998123391335,0.050499907707042255,0.08849904364381272,4,4,0,0.08542919158935547
11,5.9313790489680045,1.0367810781225517,0.04942815874140004,0.11897682477238114,4,4,0,0.08480429649353027
12,5.72919068801073,0.9904418934937262,0.04774325573342275,0.14208303687491985,4,4,0,0.08512544631958008
13,5.5269258737075155,0.9648835048865538,0.0460577156142293,0.12304749745481765,4,4,0,0.0866549015045166
14,5.590135549777498,1.016319867308227,0.04658446291481248,0.15838222398017482,4,4,0,0.08517241477966309
15,5.424607604053605,0.9410656482374244,0.04520506336711338,0.10687769833414328,4,4,0,0.0857095718383789
16,5.024123175704038,0.9075157147722885,0.04186769313086699,0.12329273014431001,4,4,0,0.08616089820861816
17,6.163649461675165,1.0167417746297418,0.05136374551395971,0.19403730566081984,4,4,0,0.08471822738647461
18,6.026064703983671,0.983708873851736,0.05021720586653059,0.1110107908389157,4,4,0,0.08556246757507324
19,5.849404442624526,0.9903053540540181,0.04874503702187105,0.12533896964516966,4,4,0,0.0853586196899414
