sample_id,total_cost,cost_ratio,average_distance,total_hbar_distance,model_count,gt_model_count,model_count_error,runtime
0,19.234882292340146,1.072652386338714,0.10231320368266035,0.55950483476173,6,6,0,0.024946212768554688
1,137.06830799333014,5.529258456395488,0.5687481659474279,3.701025093695886,4,6,2,0.024605989456176758
2,27.799941906179882,1.2331165113446754,0.12990627058962562,1.2281535525214688,6,6,0,0.024739503860473633
3,125.01793443868328,5.538651278530886,0.5459298447104074,2.7417917953479765,4,6,2,0.024660348892211914
4,24.042336867009766,1.4564796252907737,0.14659961504274246,3.1505868286735437,6,6,0,0.02418804168701172
5,35.288236543286516,1.703957774812861,0.17644118271643258,2.388126802871923,6,6,0,0.024831056594848633
6,61.95524210384929,2.600059866986901,0.26141452364493367,0.6354750683831574,5,6,1,0.024971485137939453
7,71.9046003100427,3.0988441178864248,0.3046805097883165,0.7475431705952612,5,6,1,0.025405406951904297
8,88.34424372860582,4.235734101221665,0.42473194100291256,1.5139081850967926,4,6,2,0.024852752685546875
9,38.1059899879582,1.617226042352941,0.16786779730378062,0.6038119716720736,5,6,1,0.02523326873779297
10,23.816227987682417,0.9593569241727617,0.10049041345013678,1.2773866638137754,7,6,1,0.025611400604248047
11,20.724314040512255,1.1047110934459914,0.10414228161061434,0.7396180394526812,6,6,0,0.02475285530090332
12,66.10822994913107,3.0068000267742785,0.2938143553294714,1.2237153224668962,5,6,1,0.02484297752380371
13,61.31592223459348,3.1200131507316233,0.3035441694781855,1.022617275534649,4,6,2,0.0242764949798584
14,91.4435771384427,3.8522340770740087,0.38421671066572566,2.048499651633212,5,6,1,0.0251920223236084
15,45.969407832612376,1.9244469801987365,0.20522057068130525,0.6064752683734504,5,6,1,0.024948835372924805
16,76.99003530441198,4.029142266656097,0.40735468415032794,1.292599014551271,4,6,2,0.024055004119873047
17,18.080045267075775,0.9020784947425549,0.09720454444664395,0.5241094351060632,6,6,0,0.025074005126953125
18,63.67001007635336,3.156395176463909,0.32156570745633006,1.4504365428658696,5,6,1,0.02433180809020996
19,22.025718906496827,0.9049867384662881,0.09576399524563838,0.41457656574551516,6,6,0,0.025371789932250977
