sample_id,total_cost,cost_ratio,average_distance,total_hbar_distance,model_count,gt_model_count,model_count_error,runtime
0,5.275368605368638,0.9216887552916693,0.04396140504473865,0.1405611278687287,4,4,0,0.03539609909057617
1,5.93345179353615,0.9329221612438409,0.04944543161280125,0.10213259810931023,4,4,0,0.03576231002807617
2,5.773015573806077,0.9605527858954691,0.04810846311505065,0.08528201526709785,4,4,0,0.03523612022399902
3,5.5724804936007954,0.9627359241965601,0.0464373374466733,0.09512041768198454,4,4,0,0.03958463668823242
4,5.713970553087034,0.942969419327563,0.04761642127572528,0.10202263849888003,4,4,0,0.0420536994934082
5,5.46204245248857,0.8859535484959478,0.04551702043740475,0.13453032016565572,4,4,0,0.03901934623718262
6,5.669477472008031,0.9169037072467311,0.04724564560006693,0.10079347740694009,4,4,0,0.03838801383972168
7,5.559874259647829,0.8758933756138632,0.046332285497065244,0.10868208699533549,4,4,0,0.03487968444824219
8,5.412773414500581,0.8670851266207918,0.045106445120838175,0.0782607885413865,4,4,0,0.03814387321472168
9,6.004124986512089,0.9361308276977123,0.05003437488760074,0.115285727172336,4,4,0,0.03835797309875488
10,6.012378625868221,0.9416432102917143,0.05010315521556851,0.07706750071038407,4,4,0,0.04030132293701172
11,5.4529856951029325,0.9531598539363839,0.04544154745919111,0.06901732472088963,4,4,0,0.03844428062438965
12,5.529713005104874,0.9559569086632392,0.04608094170920728,0.10360761444970489,4,4,0,0.03861355781555176
13,5.38204296311529,0.939590035467067,0.04485035802596075,0.07442892573383766,4,4,0,0.039464473724365234
14,4.762929658155421,0.8659289198036721,0.03969108048462851,0.0997907048340515,4,4,0,0.03763937950134277
15,5.426117798923978,0.9413276381578733,0.045217648324366484,0.10275874673048832,4,4,0,0.03737211227416992
16,5.006836409805212,0.9043931775330265,0.041723636748376765,0.13284949856905026,4,4,0,0.04112052917480469
17,5.443277996568477,0.8979109153507748,0.045360649971403974,0.1030143436632801,4,4,0,0.037962913513183594
18,5.759807343555607,0.9402444005930473,0.04799839452963006,0.05563322867135617,4,4,0,0.03624677658081055
19,5.7591338642179455,0.9750225268899112,0.047992782201816214,0.07646903848546444,4,4,0,0.03972196578979492
