sample_id,total_cost,cost_ratio,average_distance,total_hbar_distance,model_count,gt_model_count,model_count_error,runtime
0,5.405254904277779,0.9443819072070021,0.04504379086898149,0.16027663462142194,4,4,0,0.0345158576965332
1,6.113074528678342,0.9611644114732836,0.05094228773898619,0.09690912321733221,4,4,0,0.03618025779724121
2,5.715906200670147,0.9510505479809617,0.04763255167225122,0.07988605894358905,4,4,0,0.03628420829772949
3,5.5724804936007954,0.9627359241965601,0.0464373374466733,0.09512041768198454,4,4,0,0.03986763954162598
4,5.822239237478586,0.960836865003653,0.04851866031232155,0.12040721597197832,4,4,0,0.039444684982299805
5,5.443493743014704,0.8829449129678764,0.04536244785845587,0.1265051340501004,4,4,0,0.03926801681518555
6,5.740884821938496,0.9284521549121768,0.04784070684948747,0.08949881088929394,4,4,0,0.038793325424194336
7,5.6554620563795135,0.8909521186783349,0.04712885046982928,0.10865506265270389,4,4,0,0.035079002380371094
8,5.507309433224392,0.882229077695072,0.04589424527686993,0.06418685920362344,4,4,0,0.03543734550476074
9,6.011989417197249,0.9373570073697225,0.050099911809977075,0.11022110028365047,4,4,0,0.03811907768249512
10,6.012378625868221,0.9416432102917143,0.05010315521556851,0.07706750071038407,4,4,0,0.04180741310119629
11,5.589795378862341,0.977073633557392,0.046581628157186174,0.08737759823611847,4,4,0,0.03757119178771973
12,5.6824106649607815,0.9823547312520801,0.047353422208006514,0.09643810428430705,4,4,0,0.038718223571777344
13,5.344027867720411,0.932953409733094,0.044533565564336755,0.08028171524117331,4,4,0,0.03807234764099121
14,4.723113419370925,0.8586900909491944,0.03935927849475771,0.11179002159056463,4,4,0,0.03810858726501465
15,5.405115645499192,0.9376841663033729,0.04504263037915993,0.0843448688863718,4,4,0,0.037264347076416016
16,5.024123175704036,0.907515714772288,0.04186769313086696,0.12329273014431323,4,4,0,0.04179954528808594
17,5.443277996568477,0.8979109153507748,0.045360649971403974,0.1030143436632801,4,4,0,0.037531137466430664
18,5.88501543389788,0.960683661636212,0.049041795282482335,0.07176048275162944,4,4,0,0.035982608795166016
19,5.7591338642179455,0.9750225268899112,0.047992782201816214,0.07646903848546444,4,4,0,0.03995943069458008
