total_cost,average_distance,gt_total_cost,gt_average_distance,cost_ratio,hbar_distance,hbar_distance_optimal,model_count_pred,model_count_gt,model_count_error,segmentation_accuracy,num_points,sample_id,runtime
5.217878633362152,0.0434823219446846,5.933663013930478,0.04944719178275399,0.8793688858150729,0.16316969778784873,0.16316969778784873,4,4,0,0.9833333333333333,120,0,0.0058841705322265625
5.945084693698494,0.04954237244748745,6.227820040341402,0.05189850033617835,0.9546012336882796,0.08121524495793264,0.08121524495793264,4,4,0,0.975,120,1,0.005814313888549805
6.27519327021436,0.052293277251786334,6.248846746649838,0.052073722888748654,1.0042162217498207,0.14391978880831255,0.14391978880831255,4,4,0,1.0,120,2,0.006261587142944336
6.174922237570707,0.051457685313089224,6.367610329801821,0.053063419415015176,0.9697393398384804,0.1181614102299996,0.1181614102299996,4,4,0,0.9916666666666667,120,3,0.0055882930755615234
5.337757419919274,0.04448131183266062,6.082102640865304,0.050684188673877535,0.8776171227455426,0.13809739868624987,0.13809739868624987,4,4,0,0.9916666666666667,120,4,0.005628824234008789
5.634357746269972,0.04695298121891643,5.860209407099093,0.048835078392492445,0.9614601381726182,0.050849506794749894,0.050849506794749894,4,4,0,0.9916666666666667,120,5,0.005982637405395508
5.23185617733324,0.043598801477777,5.71130683197021,0.047594223599751746,0.9160523731708571,0.1580123113733468,0.1580123113733468,4,4,0,0.9833333333333333,120,6,0.005535602569580078
5.33236765557557,0.04443639712979642,5.540196420526521,0.04616830350438768,0.9624871125180794,0.09372124402026932,0.09372124402026932,4,4,0,0.9916666666666667,120,7,0.005545377731323242
5.945624553868373,0.04954687128223644,6.109047846243054,0.050908732052025445,0.9732489748831836,0.06363359294939817,0.06363359294939817,4,4,0,0.9833333333333333,120,8,0.00555729866027832
5.4448201262835365,0.045373501052362805,6.0575892744299855,0.05047991062024988,0.898842737533718,0.10791878456841669,0.10791878456841669,4,4,0,0.9916666666666667,120,9,0.005994319915771484
5.539744930647496,0.04616454108872913,6.27957283104711,0.05232977359205925,0.88218499565101,0.1268014435391861,0.1268014435391861,4,4,0,0.95,120,10,0.005625009536743164
5.1532658099644895,0.04294388174970408,5.697847130935317,0.04748205942446097,0.9044233184119432,0.11365610849119,0.11365610849119,4,4,0,0.9916666666666667,120,11,0.00571751594543457
5.642696257323605,0.04702246881103004,5.9928197784463855,0.049940164820386546,0.9415761637982131,0.12184350667132335,0.12184350667132335,4,4,0,0.9583333333333334,120,12,0.0055921077728271484
5.116635711560268,0.0426386309296689,5.586765033456705,0.04655637527880587,0.9158494550816014,0.07332843781886211,0.07332843781886211,4,4,0,0.9833333333333333,120,13,0.005525350570678711
5.946773166167295,0.04955644305139413,6.1357257255873225,0.05113104771322769,0.969204529688794,0.05667117456959931,0.05667117456959931,4,4,0,0.9916666666666667,120,14,0.005762577056884766
5.673703241009216,0.04728086034174347,5.995295589937648,0.04996079658281373,0.9463592171388207,0.06305298712961509,0.06305298712961509,4,4,0,0.9833333333333333,120,15,0.005869150161743164
5.67012958489854,0.04725107987415449,5.839664069294894,0.048663867244124116,0.9709684525711382,0.13150284054787217,0.13150284054787217,4,4,0,0.9666666666666667,120,16,0.005681753158569336
5.636949545386823,0.04697457954489019,6.089461901896665,0.050745515849138875,0.9256892704478701,0.15610902521125952,0.15610902521125952,4,4,0,0.9666666666666667,120,17,0.00554347038269043
5.41256521373251,0.045104710114437584,5.6614014058636215,0.047178345048863514,0.9560468911684328,0.12382431028840266,0.12382431028840266,4,4,0,0.9833333333333333,120,18,0.0057790279388427734
5.399719489473082,0.04499766241227568,5.858450826194817,0.04882042355162348,0.9216975015526945,0.09386390961374733,0.09386390961374733,4,4,0,0.9833333333333333,120,19,0.005907773971557617
