sample_id,total_cost,cost_ratio,average_distance,total_hbar_distance,model_count,gt_model_count,model_count_error,runtime
0,57.04650924138777,2.778480448533006,0.28523254620693883,4.87811970859552,6,6,0,0.8596363067626953
1,56.99973313951102,2.851273961812152,0.2849986656975551,5.9070821488009,6,6,0,0.8741903305053711
2,67.61866406845371,4.178526638086301,0.3977568474614924,5.681340982806014,6,6,0,0.7405431270599365
3,104.78943897951414,4.767584466226538,0.46780999544425955,9.604224507959026,6,6,0,0.9688136577606201
4,65.86327098209169,3.742270075183868,0.3638854750391806,8.19796907911298,6,6,0,0.77842116355896
5,72.54640497638567,4.150050749846728,0.3818231840862404,8.663057108953076,6,6,0,0.827512264251709
6,88.26199507735554,5.07995450026966,0.4986553394200878,7.24519618752074,6,6,0,0.7712745666503906
7,39.129245873886596,2.1213721410874733,0.20594339933624525,2.2258659617436933,6,6,0,0.826385498046875
8,55.21065985971249,2.7571281231627793,0.3173026428719109,6.813098731580432,6,6,0,0.7550516128540039
9,102.97736282303826,4.4955223104191395,0.45165510010104504,5.995103121932597,6,6,0,0.9875996112823486
10,77.73685895593877,3.8726104278441786,0.3792041900289696,5.5612605812587805,6,6,0,0.887580394744873
11,58.351544106477284,2.856552605293204,0.2846416785681819,5.446695559771577,6,6,0,0.8999807834625244
12,90.36288351727119,3.9061813106186576,0.38289357422572534,10.155211565583825,6,6,0,1.0308291912078857
13,64.53699068389,3.0127371886391456,0.2987823642772685,5.975993442997764,6,6,0,0.9438035488128662
14,71.11733314595155,3.489381171924711,0.3419102555093824,4.743945968298899,6,6,0,0.907404899597168
15,78.53667093252142,4.149406675391488,0.4006973006761297,10.502450690239973,6,6,0,0.8654708862304688
16,66.40659476634622,3.5903066216034185,0.3532265679060969,8.749630500818023,6,6,0,0.8235599994659424
17,64.00747659720385,2.778321977846051,0.2758942956776028,4.590506021872158,6,6,0,1.0050320625305176
18,76.83795525788211,3.3327659958636953,0.34150202336836494,5.140397589293529,6,6,0,0.9898941516876221
19,54.57578190130539,2.4663860943411517,0.2526656569504879,4.409442922442398,6,6,0,0.9431412220001221
