sample_id,total_cost,cost_ratio,average_distance,total_hbar_distance,model_count,gt_model_count,model_count_error,runtime
0,17.696561136616808,0.8619203835295477,0.08848280568308403,0.4602394969697538,7,6,1,1.210892915725708
1,18.033219392976648,0.902068239108976,0.09016609696488324,0.3097687886953248,6,6,0,0.6840517520904541
2,15.019677478766077,0.9281479204758285,0.08835104399274163,0.16661951730388047,6,6,0,0.5961530208587646
3,19.188134537479133,0.872998777812281,0.08566131489946041,0.9937281752790825,7,6,1,1.8234992027282715
4,56.71895640010321,3.2227013640041946,0.3133644000005702,2.4785918515618706,5,6,1,1.6690950393676758
5,16.572315710799195,0.9480270078811752,0.08722271426736418,0.16171758961323607,6,6,0,0.6531581878662109
6,13.070320832180577,0.7522675538119432,0.07384362052079423,0.415932077469702,7,6,1,1.076000690460205
7,16.14432062829387,0.8752561224417142,0.08497010856996773,0.17827018662576433,6,6,0,0.9214262962341309
8,16.70708379585629,0.8343238553322446,0.09601772296469131,0.3441364063774197,6,6,0,0.7212376594543457
9,21.162914193838027,0.9238763773294087,0.09281979909578082,0.2686472467806012,6,6,0,1.2933628559112549
10,18.715091997348377,0.9323281310873904,0.09129313169438233,0.1832165934042318,6,6,0,0.7450718879699707
11,36.45370845384482,1.7845617875409436,0.1778229680675357,1.2131686452672121,5,6,1,1.7366816997528076
12,18.962840476595517,0.8197203340878654,0.08035101896862507,0.5872982170118188,7,6,1,1.1168467998504639
13,19.465480329363263,0.9086940041912356,0.09011796448779288,0.2580140126145037,6,6,0,1.2362148761749268
14,18.0061970138972,0.8834763911818109,0.08656825487450577,0.17813170841116666,6,6,0,0.8845102787017822
15,33.73066426286673,1.7821260029978059,0.1720952258309527,4.2215553196537705,6,6,0,2.1505935192108154
16,16.466329661604355,0.8902605626079103,0.08758685990215083,0.21632715542149866,6,6,0,0.4976048469543457
17,20.319787568745607,0.8820049686176054,0.08758529124459313,0.2730145504785599,6,6,0,1.0060913562774658
18,37.01004594583785,1.605272058836944,0.16448909309261267,0.19461307109178413,5,6,1,0.8301162719726562
19,19.617063558544874,0.8865333869168874,0.09081973869696701,0.37240119151949064,6,6,0,0.992487907409668
