Method,Total Cost,Cost Ratio,H-bar Dist,Models,GT Models,Model Err,Runtime
ours,19.25±2.53,0.89±0.04,0.30±0.08,6.0±0.2,6,0.1±0.2,5.609±0.521s
parsac_known,25.45±11.25,1.17±0.47,1.00±1.17,6.0±0.0,6,0.0±0.0,0.019±0.000s
parsac_unknown,55.95±34.24,2.55±1.46,1.39±0.92,5.2±0.9,6,0.9±0.8,0.025±0.000s
superansac_known,21.40±6.60,0.99±0.32,0.56±0.10,6.0±0.0,6,0.0±0.0,0.061±0.009s
superansac_unknown,19.73±2.42,0.91±0.05,0.56±0.12,6.1±0.3,6,0.1±0.3,0.065±0.012s
ransac,20.34±2.73,0.94±0.10,0.32±0.07,6.0±0.2,6,0.1±0.2,0.129±0.005s
kmeans,129.89±25.58,5.98±0.87,11.65±1.52,6.0±0.0,6,0.0±0.0,0.001±0.000s
gmm,51.74±20.46,2.40±0.96,3.15±2.08,6.0±0.0,6,0.0±0.0,0.030±0.006s
