sample_id,total_cost,cost_ratio,average_distance,total_hbar_distance,model_count,gt_model_count,model_count_error,runtime
0,76.86965610949935,3.7439773165076473,0.3843482805474967,7.197683052188703,6,6,0,0.027200937271118164
1,87.11460616113608,4.357697739265215,0.4355730308056804,10.763150580333715,6,6,0,0.027082204818725586
2,57.67030375275522,3.563763108562204,0.3392370808985601,7.830867708473224,6,6,0,0.02326655387878418
3,105.27206277963528,4.789542306204463,0.4699645659805146,7.944816856766447,6,6,0,0.030670881271362305
4,64.84760818590007,3.6845613639098875,0.3582740783751385,6.953405238964544,6,6,0,0.02444291114807129
5,62.80630489550168,3.5928638064356466,0.33055949945000884,8.15839442943465,6,6,0,0.026447296142578125
6,60.26918130988781,3.4688168849389878,0.3405038492084057,7.025530726897378,6,6,0,0.024444103240966797
7,77.52642523167401,4.2030556687608005,0.4080338170088106,8.455990369586425,6,6,0,0.02576732635498047
8,39.68632360375222,1.981868704175525,0.22808231956179437,3.8879721641455034,6,6,0,0.02357029914855957
9,109.9519082252508,4.799999174082452,0.4822452115142579,9.97773203808194,6,6,0,0.031203269958496094
10,76.94853161290072,3.8333383922846482,0.3753586907946377,8.204189280659318,6,6,0,0.02770400047302246
11,99.33379697080478,4.86280561852554,0.4845551071746575,10.968217202011001,6,6,0,0.02777266502380371
12,99.20568500866851,4.288435446107871,0.4203630720706293,10.617637816407662,6,6,0,0.031707048416137695
13,75.47860843057994,3.5235174146771024,0.3494380019934256,9.532145298048968,6,6,0,0.029029369354248047
14,95.75392351070523,4.69817867256731,0.4603554014937752,12.39447156696042,6,6,0,0.028233766555786133
15,85.97790327388444,4.542556764181476,0.4386627718055328,10.310602085253906,6,6,0,0.026305198669433594
16,79.3584306966657,4.290554277218988,0.42211931221630694,10.265126965454387,6,6,0,0.02541065216064453
17,73.19723077164393,3.177214378409218,0.31550530505018937,7.096275158457361,6,6,0,0.03238797187805176
18,93.09229541259351,4.037781010526868,0.4137435351670823,9.582527181855788,6,6,0,0.03152322769165039
19,74.17252369853213,3.352001101204077,0.34339131341913026,9.939631317304503,6,6,0,0.02967691421508789
