total_cost,average_distance,gt_total_cost,gt_average_distance,cost_ratio,hbar_distance,hbar_distance_optimal,model_count_pred,model_count_gt,model_count_error,segmentation_accuracy,num_points,sample_id,runtime
5.261353431773314,0.04384461193144428,5.933663013930478,0.04944719178275399,0.886695691922716,0.09333809798785934,0.09333809798785934,4,4,0,0.9833333333333333,120,0,0.007079601287841797
5.955101542387469,0.049625846186562246,6.227820040341402,0.05189850033617835,0.9562096373711237,0.049172595428087176,0.049172595428087176,4,4,0,0.9833333333333333,120,1,0.006658315658569336
6.100759208426313,0.05083966007021927,6.248846746649838,0.052073722888748654,0.9763016210466485,0.05441132852376545,0.05441132852376545,4,4,0,1.0,120,2,0.006741046905517578
6.065446095905777,0.050545384132548145,6.367610329801821,0.053063419415015176,0.9525466826256863,0.05878772240542326,0.05878772240542326,4,4,0,1.0,120,3,0.006749868392944336
5.371730810159773,0.04476442341799811,6.082102640865304,0.050684188673877535,0.883202919672453,0.0788519375624511,0.0788519375624511,4,4,0,0.9916666666666667,120,4,0.00696563720703125
5.636782795618271,0.04697318996348559,5.860209407099093,0.048835078392492445,0.9618739543317066,0.05097753207959803,0.05097753207959803,4,4,0,0.9916666666666667,120,5,0.006811380386352539
5.14996070314859,0.04291633919290492,5.71130683197021,0.047594223599751746,0.9017131901092462,0.054283191946406434,0.054283191946406434,4,4,0,0.9916666666666667,120,6,0.00673365592956543
5.337441343620876,0.0444786778635073,5.540196420526521,0.04616830350438768,0.9634029082155943,0.0916864197014683,0.0916864197014683,4,4,0,0.9916666666666667,120,7,0.0066890716552734375
5.913502959436144,0.049279191328634536,6.109047846243054,0.050908732052025445,0.9679909387307932,0.023141814303259824,0.023141814303259824,4,4,0,1.0,120,8,0.0066568851470947266
5.432199478450704,0.0452683289870892,6.0575892744299855,0.05047991062024988,0.896759293565982,0.09824843367302327,0.09824843367302327,4,4,0,0.9916666666666667,120,9,0.006705284118652344
5.613915686560373,0.04678263072133645,6.27957283104711,0.05232977359205925,0.8939964289934449,0.06311726462281209,0.06311726462281209,4,4,0,0.9916666666666667,120,10,0.006681680679321289
5.161737021292854,0.043014475177440455,5.697847130935317,0.04748205942446097,0.9059100573738175,0.08259757866699195,0.08259757866699195,4,4,0,1.0,120,11,0.006838321685791016
5.453339595700649,0.04544449663083874,5.9928197784463855,0.049940164820386546,0.9099789076444421,0.12716118278489175,0.12716118278489175,4,4,0,0.9416666666666667,120,12,0.006712913513183594
5.147473077248224,0.04289560897706853,5.586765033456705,0.04655637527880587,0.9213691727542231,0.04903298236141784,0.04903298236141784,4,4,0,0.9916666666666667,120,13,0.00667881965637207
5.975686645364154,0.04979738871136795,6.1357257255873225,0.05113104771322769,0.9739168458010157,0.03374539777842618,0.03374539777842618,4,4,0,0.9833333333333333,120,14,0.0067141056060791016
5.704865697054108,0.047540547475450896,5.995295589937648,0.04996079658281373,0.9515570352576126,0.030353514311088594,0.030353514311088594,4,4,0,1.0,120,15,0.006643772125244141
5.470562330910536,0.045588019424254465,5.839664069294894,0.048663867244124116,0.9367940117779882,0.06976999559245654,0.06976999559245654,4,4,0,0.9916666666666667,120,16,0.00664830207824707
5.666589815031494,0.04722158179192912,6.089461901896665,0.050745515849138875,0.9305567398765627,0.10331007735051853,0.10331007735051853,4,4,0,0.9666666666666667,120,17,0.006612300872802734
5.395262577180604,0.04496052147650504,5.6614014058636215,0.047178345048863514,0.9529906449651544,0.07495837756345454,0.07495837756345454,4,4,0,1.0,120,18,0.0066492557525634766
5.425389963919684,0.04521158303266403,5.858450826194817,0.04882042355162348,0.9260792869782581,0.06919279456192035,0.06919279456192035,4,4,0,0.9833333333333333,120,19,0.006739616394042969
